"dataset","timestamp","allowed_miss","injected_miss","algorithm","imputable_data_cnt","correct_imputation_cnt","correct_imputation_ratio","injected_het_cnt","injected_het_hits","injected_min_homo_cnt","injected_min_homo_hits","injected_maj_homo_cnt","injected_maj_homo_hits","injected_min_all_cnt","injected_min_all_hits","injected_maj_all_cnt","injected_maj_all_hits","runtime_user_self","runtime_system_self","runtime_elapsed","runtime_user_child","runtime_system_child"
"lodi_chrom_1",2016-01-15 13:19:01,"0.1","0.01","beagle unphased",516,367,0.711240310077519,165,20,2,0,349,347,169,21,863,860,0,0.003,14.673,13.712,0.677
"lodi_chrom_1",2016-01-15 13:22:20,"0.1","0.01","beagle unphased (shuffle)",507,340,0.670611439842209,166,1,2,0,339,339,170,2,844,843,0,0.00299999999999997,16.013,14.209,0.611
"lodi_chrom_1",2016-01-15 13:26:38,"0.1","0.01","beagle unphased (shuffle)",478,302,0.631799163179916,173,0,3,0,302,302,179,2,777,775,0.00100000000000011,0.002,8.207,10.762,0.68
"lodi_chrom_1",2016-01-15 13:19:01,"0.1","0.05","beagle unphased",2479,1708,0.688987494957644,834,89,9,0,1636,1619,852,97,4106,4081,0,0.002,16.229,14.45,0.625
"lodi_chrom_1",2016-01-15 13:22:20,"0.1","0.05","beagle unphased (shuffle)",2605,1681,0.645297504798464,924,7,6,0,1675,1674,936,7,4274,4273,0.00100000000000033,0.002,16.068,15.127,0.639
"lodi_chrom_1",2016-01-15 13:26:38,"0.1","0.05","beagle unphased (shuffle)",2630,1712,0.650950570342205,913,2,7,0,1710,1710,927,2,4333,4333,0.00099999999999989,0.002,8.743,11.297,0.479
"lodi_chrom_1",2016-01-15 13:19:01,"0.1","0.1","beagle unphased",5010,3448,0.688223552894212,1669,156,18,0,3323,3292,1705,156,8315,8284,0,0.002,14.454,14.273,0.679
"lodi_chrom_1",2016-01-15 13:22:19,"0.1","0.1","beagle unphased (shuffle)",5150,3387,0.657669902912621,1747,0,16,0,3387,3387,1779,12,8521,8509,0.00099999999999989,0.002,13.665,12.515,0.566
"lodi_chrom_1",2016-01-15 13:26:38,"0.1","0.1","beagle unphased (shuffle)",5032,3360,0.667726550079491,1655,10,22,0,3355,3350,1699,10,8365,8360,0.00200000000000022,0.002,8.888,10.813,0.568
"lodi_chrom_1",2016-01-15 13:19:01,"0.1","0.2","beagle unphased",10239,6923,0.676140248071101,3490,240,36,3,6713,6680,3562,319,16916,16810,0.00099999999999989,0.002,17.687,15.421,0.823
"lodi_chrom_1",2016-01-15 13:22:20,"0.1","0.2","beagle unphased (shuffle)",10102,6650,0.658285488022174,3414,10,44,2,6644,6638,3502,54,16702,16652,0,0.00299999999999999,17.266,14.915,0.714
"lodi_chrom_1",2016-01-15 13:26:38,"0.1","0.2","beagle unphased (shuffle)",10146,6566,0.647151586832249,3538,0,39,0,6569,6566,3616,58,16676,16612,0,0.003,8.162,9.977,0.492
"lodi_chrom_1",2016-01-15 13:19:01,"0.2","0.01","beagle unphased",712,500,0.702247191011236,228,21,2,0,482,479,232,28,1192,1181,0.00099999999999989,0.002,18.124,17.7,0.969
"lodi_chrom_1",2016-01-15 13:22:20,"0.2","0.01","beagle unphased (shuffle)",685,447,0.652554744525547,237,1,2,0,446,446,241,5,1129,1125,0,0.003,16.833,16.011,0.895
"lodi_chrom_1",2016-01-15 13:26:39,"0.2","0.01","beagle unphased (shuffle)",687,436,0.634643377001456,247,1,5,0,435,435,257,2,1117,1116,0.00100000000000033,0.001,12.136,14.56,1.066
"lodi_chrom_1",2016-01-15 13:19:01,"0.2","0.05","beagle unphased",3376,2369,0.701718009478673,1086,115,21,1,2269,2253,1128,144,5624,5581,0.00099999999999989,0.002,17.804,18.625,1.147
"lodi_chrom_1",2016-01-15 13:22:20,"0.2","0.05","beagle unphased (shuffle)",3469,2259,0.651196310175843,1201,15,22,0,2246,2244,1245,33,5693,5672,0.00100000000000033,0.004,18.66,17.517,1.041
"lodi_chrom_1",2016-01-15 13:26:39,"0.2","0.05","beagle unphased (shuffle)",3366,2254,0.669637551990493,1096,0,16,0,2254,2254,1128,5,5604,5599,0,0.00199999999999999,11.988,14.749,0.958
"lodi_chrom_1",2016-01-15 13:19:01,"0.2","0.1","beagle unphased",6778,4603,0.679108881676011,2288,186,38,3,4452,4414,2364,232,11192,11107,0.00100000000000033,0.00199999999999999,17.409,16.901,0.914
"lodi_chrom_1",2016-01-15 13:22:20,"0.2","0.1","beagle unphased (shuffle)",6749,4447,0.658912431471329,2265,4,36,0,4448,4443,2337,41,11161,11115,0,0.002,17.07,15.47,0.84
"lodi_chrom_1",2016-01-15 13:26:39,"0.2","0.1","beagle unphased (shuffle)",6856,4443,0.648045507584597,2364,0,44,1,4448,4442,2452,30,11260,11223,0.00099999999999989,0.002,12.781,15.747,0.885
"lodi_chrom_1",2016-01-15 13:19:01,"0.2","0.2","beagle unphased",13570,8965,0.660648489314665,4686,185,87,4,8797,8776,4860,257,22280,22186,0,0.00199999999999997,17.461,17.351,1.061
"lodi_chrom_1",2016-01-15 13:22:20,"0.2","0.2","beagle unphased (shuffle)",13828,9083,0.656855655192363,4669,14,89,0,9070,9069,4847,36,22809,22785,0.00200000000000022,0.002,17.687,17.225,0.965
"lodi_chrom_1",2016-01-15 13:26:39,"0.2","0.2","beagle unphased (shuffle)",13704,8930,0.651634559252773,4702,0,68,2,8934,8928,4838,43,22570,22519,0,0.002,12.518,15.04,0.806
"lodi_chrom_1",2016-01-15 13:19:02,"0.4","0.01","beagle unphased",923,643,0.696641386782232,303,33,5,0,615,610,313,35,1533,1526,0,0.003,21.626,20.98,0.993
"lodi_chrom_1",2016-01-15 13:22:20,"0.4","0.01","beagle unphased (shuffle)",925,621,0.671351351351351,298,1,5,0,622,620,308,1,1542,1538,0.00099999999999989,0.002,22.051,22.024,1.01
